Timestamp,SceneName,CD_Ratio,IsGrabbed,LeftCtrl_PosX,LeftCtrl_PosY,LeftCtrl_PosZ,LeftCtrl_RotX,LeftCtrl_RotY,LeftCtrl_RotZ,RightCtrl_PosX,RightCtrl_PosY,RightCtrl_PosZ,RightCtrl_RotX,RightCtrl_RotY,RightCtrl_RotZ,Head_PosX,Head_PosY,Head_PosZ,Head_RotX,Head_RotY,Head_RotZ,TargetObj_PosX,TargetObj_PosY,TargetObj_PosZ,TargetObj_RotX,TargetObj_RotY,TargetObj_RotZ,EyeGaze_OriginX,EyeGaze_OriginY,EyeGaze_OriginZ,EyeGaze_DirX,EyeGaze_DirY,EyeGaze_DirZ,Gaze_DeviationAngle,IsGazeValid
0.0000,CoreSystemMain,0.500,0,-0.2271,0.5692,0.3554,341.07,294.16,62.71,0.1700,0.5752,0.3034,303.21,39.24,319.79,0.0533,0.9091,0.1555,6.40,6.99,1.97,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0533,0.9091,0.1555,0.1209,-0.1114,0.9864,26.20,0
0.0114,CoreSystemMain,0.500,0,-0.2253,0.5690,0.3546,340.34,294.49,62.16,0.1703,0.5746,0.3029,302.77,39.61,321.15,0.0535,0.9092,0.1554,6.31,7.09,2.00,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0535,0.9092,0.1554,0.1227,-0.1100,0.9863,26.19,0
0.0222,CoreSystemMain,0.500,0,-0.2221,0.5693,0.3538,337.63,294.90,59.39,0.1710,0.5739,0.3029,302.59,41.04,319.01,0.0537,0.9094,0.1554,6.26,7.13,1.99,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0537,0.9094,0.1554,0.1234,-0.1090,0.9864,26.17,0
0.0334,CoreSystemMain,0.500,0,-0.2208,0.5687,0.3527,336.50,295.36,57.98,0.1710,0.5738,0.3032,302.55,40.67,319.05,0.0540,0.9096,0.1552,6.20,7.19,1.99,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0540,0.9096,0.1552,0.1244,-0.1080,0.9863,26.16,0
0.0447,CoreSystemMain,0.500,0,-0.2200,0.5679,0.3515,336.00,295.84,57.26,0.1710,0.5732,0.3034,302.34,39.04,320.76,0.0542,0.9097,0.1551,6.14,7.24,2.01,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0542,0.9097,0.1551,0.1253,-0.1070,0.9863,26.14,0
0.0554,CoreSystemMain,0.500,0,-0.2190,0.5682,0.3497,335.93,296.36,57.32,0.1709,0.5728,0.3034,302.10,37.51,322.47,0.0544,0.9098,0.1552,6.10,7.30,2.03,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0544,0.9098,0.1552,0.1263,-0.1063,0.9863,26.16,0
0.0666,CoreSystemMain,0.500,0,-0.2188,0.5673,0.3477,335.87,296.95,58.20,0.1708,0.5722,0.3036,301.94,35.53,324.33,0.0546,0.9099,0.1550,5.94,7.34,2.04,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0546,0.9099,0.1550,0.1271,-0.1035,0.9865,26.06,0
0.0777,CoreSystemMain,0.500,0,-0.2178,0.5668,0.3446,334.50,297.34,60.34,0.1709,0.5718,0.3039,302.36,35.42,324.25,0.0548,0.9101,0.1551,5.82,7.40,2.03,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0548,0.9101,0.1551,0.1281,-0.1015,0.9866,26.00,0
0.0945,CoreSystemMain,0.500,0,-0.2158,0.5664,0.3418,332.55,297.05,61.48,0.1712,0.5718,0.3040,302.95,35.99,323.56,0.0551,0.9103,0.1551,5.66,7.47,2.03,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0551,0.9103,0.1551,0.1294,-0.0986,0.9867,25.91,0
0.1000,CoreSystemMain,0.500,0,-0.2153,0.5662,0.3408,331.67,296.81,62.09,0.1715,0.5719,0.3040,303.56,36.90,322.15,0.0551,0.9104,0.1551,5.64,7.50,2.02,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0551,0.9104,0.1551,0.1298,-0.0982,0.9867,25.91,0
0.1115,CoreSystemMain,0.500,0,-0.2145,0.5657,0.3390,331.07,296.89,62.92,0.1719,0.5719,0.3040,303.90,37.30,321.46,0.0553,0.9105,0.1551,5.61,7.53,2.03,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0553,0.9105,0.1551,0.1304,-0.0978,0.9866,25.91,0
0.1224,CoreSystemMain,0.500,0,-0.2141,0.5669,0.3347,331.32,295.78,64.42,0.1732,0.5723,0.3040,304.84,40.29,316.59,0.0555,0.9104,0.1550,5.61,7.59,2.01,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0555,0.9104,0.1550,0.1314,-0.0977,0.9865,25.97,0
0.1427,CoreSystemMain,0.500,0,-0.2145,0.5667,0.3310,332.57,295.44,65.41,0.1739,0.5727,0.3040,305.25,41.87,314.61,0.0557,0.9103,0.1549,5.65,7.66,1.95,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0557,0.9103,0.1549,0.1326,-0.0984,0.9863,26.08,0
0.1462,CoreSystemMain,0.500,0,-0.2143,0.5665,0.3303,332.55,295.45,65.65,0.1741,0.5727,0.3040,305.33,42.02,314.39,0.0557,0.9103,0.1549,5.66,7.65,1.95,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0557,0.9103,0.1549,0.1325,-0.0986,0.9863,26.08,0
0.1559,CoreSystemMain,0.500,0,-0.2160,0.5666,0.3279,334.42,294.53,66.28,0.1750,0.5730,0.3043,305.75,42.69,313.65,0.0558,0.9103,0.1548,5.67,7.67,1.92,0.0000,1.0000,0.5000,0.00,0.00,0.00,0.0558,0.9103,0.1548,0.1329,-0.0989,0.9862,26.12,0
